"geo\time","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011",""
"EU (27 countries)",":","",69.900000000000006,"",68.299999999999997,"",66.400000000000006,"",65.700000000000003,"",61.899999999999999,"",61.0,"",60.399999999999999,"",61.899999999999999,"",62.299999999999997,"",62.799999999999997,"",61.5,"",59.0,"",62.5,"",74.799999999999997,"",80.0,"",82.5,""
"EU (25 countries)",68.599999999999994,"",70.200000000000003,"",68.400000000000006,"",66.599999999999994,"",65.900000000000006,"",62.100000000000001,"",61.200000000000003,"",60.600000000000001,"",62.100000000000001,"",62.600000000000001,"",63.200000000000003,"",62.0,"",59.600000000000001,"",63.200000000000003,"",75.5,"",80.700000000000003,"",83.200000000000003,""
"Euro area (17 countries)",72.0,"",73.700000000000003,"",73.200000000000003,"",72.799999999999997,"",71.599999999999994,"",69.200000000000003,"",68.099999999999994,"",67.900000000000006,"",69.099999999999994,"",69.5,"",70.099999999999994,"",68.5,"",66.299999999999997,"",70.099999999999994,"",79.900000000000006,"",85.299999999999997,"",87.200000000000003,""
"Euro area (16 countries)",72.0,"",73.700000000000003,"",73.200000000000003,"",72.799999999999997,"",71.700000000000003,"",69.200000000000003,"",68.200000000000003,"",68.0,"",69.200000000000003,"",69.599999999999994,"",70.200000000000003,"",68.599999999999994,"",66.400000000000006,"",70.200000000000003,"",80.0,"",85.400000000000006,"",87.400000000000006,""
"Belgium",130.19999999999999,"",127.2,"",122.5,"",117.2,"",113.59999999999999,"",107.8,"",106.5,"",103.40000000000001,"",98.400000000000006,"",94.0,"",92.0,"",88.0,"",84.099999999999994,"",89.299999999999997,"",95.799999999999997,"",96.0,"",98.0,""
"Bulgaria",":","",":","",108.3,"",77.599999999999994,"",77.599999999999994,"",72.5,"",66.0,"",52.399999999999999,"",44.399999999999999,"",37.0,"",27.5,"",21.600000000000001,"",17.199999999999999,"",13.699999999999999,"",14.6,"",16.300000000000001,"",16.300000000000001,""
"Czech Republic",14.0,"",11.9,"",12.6,"",14.5,"",15.800000000000001,"",17.800000000000001,"",23.899999999999999,"",27.100000000000001,"",28.600000000000001,"",28.899999999999999,"",28.399999999999999,"",28.300000000000001,"",27.899999999999999,"",28.699999999999999,"",34.399999999999999,"",38.100000000000001,"",41.200000000000003,""
"Denmark",72.599999999999994,"",69.400000000000006,"",65.400000000000006,"",61.399999999999999,"",58.100000000000001,"",52.399999999999999,"",49.600000000000001,"",49.5,"",47.200000000000003,"",45.100000000000001,"",37.799999999999997,"",32.100000000000001,"",27.5,"",33.399999999999999,"",40.600000000000001,"",42.899999999999999,"",46.5,""
"Germany",55.600000000000001,"",58.5,"",59.799999999999997,"",60.5,"",61.299999999999997,"",60.200000000000003,"",59.100000000000001,"",60.700000000000003,"",64.400000000000006,"",66.299999999999997,"",68.599999999999994,"",68.099999999999994,"",65.200000000000003,"",66.700000000000003,"",74.400000000000006,"",83.0,"",81.200000000000003,""
"Estonia",8.1999999999999993,"",7.5999999999999996,"",7.0,"",6.0,"",6.5,"",5.0999999999999996,"",4.7999999999999998,"",5.7000000000000002,"",5.5999999999999996,"",5.0,"",4.5999999999999996,"",4.4000000000000004,"",3.7000000000000002,"",4.5,"",7.2000000000000002,"",6.7000000000000002,"",6.0,""
